City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Changji,CN,2021-11-25 15:37:39,44.0167,87.3167,29.19,74,8,2.24
1,Grindavik,IS,2021-11-25 15:37:40,63.8424,-22.4338,41.47,81,75,23.02
2,Nanortalik,GL,2021-11-25 15:37:40,60.1432,-45.2371,37.56,99,100,1.95
3,Hilo,US,2021-11-25 15:32:44,19.7297,-155.09,75.27,92,90,4.61
4,Port Alfred,ZA,2021-11-25 15:37:41,-33.5906,26.891,65.32,64,93,21.63
5,Bluff,NZ,2021-11-25 15:37:41,-46.6,168.3333,57.43,69,93,13.73
6,Quelimane,MZ,2021-11-25 15:37:42,-17.8786,36.8883,78.75,83,75,8.05
7,Jamestown,US,2021-11-25 15:35:31,42.097,-79.2353,45.72,82,90,4.61
8,Nikolskoye,RU,2021-11-25 15:37:42,59.7035,30.7861,42.87,90,100,12.37
9,Mataura,NZ,2021-11-25 15:37:43,-46.1927,168.8643,58.71,54,100,9.04
10,Bredasdorp,ZA,2021-11-25 15:37:43,-34.5322,20.0403,69.28,64,0,28.05
11,Altamont,US,2021-11-25 15:37:43,42.2068,-121.7372,30.78,86,1,0.0
12,Imbituba,BR,2021-11-25 15:34:30,-28.24,-48.6703,83.82,60,1,21.41
13,Mizdah,LY,2021-11-25 15:37:44,31.4451,12.9801,73.06,27,84,19.19
14,Staryy Nadym,RU,2021-11-25 15:37:44,65.6118,72.6842,5.49,91,100,11.65
15,Longyearbyen,SJ,2021-11-25 15:37:45,78.2186,15.6401,12.04,48,40,17.27
16,Lorengau,PG,2021-11-25 15:37:45,-2.0226,147.2712,81.46,76,15,5.64
17,Busselton,AU,2021-11-25 15:37:46,-33.65,115.3333,65.08,79,56,11.56
18,Beringovskiy,RU,2021-11-25 15:37:46,63.05,179.3167,-11.54,91,47,9.19
19,Severo-Kurilsk,RU,2021-11-25 15:37:47,50.6789,156.125,34.45,84,82,4.56
20,Georgetown,MY,2021-11-25 15:37:24,5.4112,100.3354,78.75,91,40,3.0
21,Buala,SB,2021-11-25 15:37:48,-8.145,159.5921,80.15,81,78,4.88
22,Port Jervis,US,2021-11-25 15:37:48,41.3751,-74.6927,49.17,60,96,3.53
23,Chapleau,CA,2021-11-25 15:35:12,47.8405,-83.4034,17.69,93,90,10.36
24,Port Lincoln,AU,2021-11-25 15:37:49,-34.7333,135.8667,59.04,78,100,19.04
25,Narsaq,GL,2021-11-25 15:37:49,60.9167,-46.05,34.02,99,100,4.99
26,Troyes,FR,2021-11-25 15:37:50,48.3333,4.0833,41.77,75,20,3.44
27,Dubrovnik,HR,2021-11-25 15:37:50,42.6481,18.0922,58.64,62,20,17.27
28,Vao,NC,2021-11-25 15:37:50,-22.6667,167.4833,73.72,86,100,15.3
29,Vanavara,RU,2021-11-25 15:37:51,60.34,102.2797,7.27,99,96,2.66
30,Hermanus,ZA,2021-11-25 15:37:51,-34.4187,19.2345,79.9,61,0,31.97
31,New Norfolk,AU,2021-11-25 15:37:52,-42.7826,147.0587,49.5,57,36,1.99
32,Pryozerne,UA,2021-11-25 15:37:52,45.2698,36.3303,38.93,62,0,11.43
33,Ocho Rios,JM,2021-11-25 15:37:53,18.4025,-77.1048,86.76,78,100,15.23
34,Stepnyak,KZ,2021-11-25 15:37:53,52.8339,70.7803,4.68,91,17,9.42
35,Shimoda,JP,2021-11-25 15:37:53,34.6667,138.95,54.1,64,2,28.39
36,Clarence Town,AU,2021-11-25 15:37:54,-32.5833,151.7833,72.34,96,92,1.43
37,Tiksi,RU,2021-11-25 15:37:54,71.6872,128.8694,-4.43,84,100,6.08
38,Bambous Virieux,MU,2021-11-25 15:37:55,-20.3428,57.7575,79.05,73,40,6.91
39,Rikitea,PF,2021-11-25 15:37:55,-23.1203,-134.9692,75.49,77,13,13.2
40,Seoul,KR,2021-11-25 15:34:01,37.5683,126.9778,38.64,54,0,9.22
41,Solnechnyy,RU,2021-11-25 15:37:56,50.7214,136.6319,24.13,95,100,6.55
42,Los Llanos De Aridane,ES,2021-11-25 15:37:56,28.6585,-17.9182,65.12,91,75,5.99
43,Savinka,RU,2021-11-25 15:37:57,50.0785,47.0994,31.12,80,96,12.28
44,Punta Arenas,CL,2021-11-25 15:35:28,-53.15,-70.9167,53.71,50,40,28.77
45,Bridlington,GB,2021-11-25 15:37:57,54.0831,-0.1919,42.98,71,93,19.98
46,Vinh,VN,2021-11-25 15:37:58,18.6667,105.6667,64.67,80,23,2.17
47,Port Hardy,CA,2021-11-25 15:37:59,50.6996,-127.4199,44.78,93,90,18.41
48,Provideniya,RU,2021-11-25 15:38:59,64.3833,-173.3,-0.78,82,57,7.18
49,Saint-Philippe,RE,2021-11-25 15:39:00,-21.3585,55.7679,80.19,82,61,4.92
50,Atuona,PF,2021-11-25 15:39:01,-9.8,-139.0333,78.37,80,33,17.72
51,Upernavik,GL,2021-11-25 15:39:01,72.7868,-56.1549,17.65,91,100,8.08
52,Ushuaia,AR,2021-11-25 15:37:37,-54.8,-68.3,47.86,61,40,6.91
53,Butaritari,KI,2021-11-25 15:39:02,3.0707,172.7902,82.18,73,51,15.73
54,Taltal,CL,2021-11-25 15:39:02,-25.4,-70.4833,66.13,66,19,7.23
55,Hobart,AU,2021-11-25 15:35:27,-42.8794,147.3294,49.86,64,78,3.0
56,Avarua,CK,2021-11-25 15:39:03,-21.2078,-159.775,73.45,94,20,4.61
57,Fairbanks,US,2021-11-25 15:39:03,64.8378,-147.7164,-13.9,71,1,0.0
58,Arraial Do Cabo,BR,2021-11-25 15:39:04,-22.9661,-42.0278,82.36,69,20,12.66
59,Fallon,US,2021-11-25 15:39:04,39.4735,-118.7774,17.47,79,1,3.44
60,Disna,BY,2021-11-25 15:39:05,55.568,28.1971,37.96,83,100,13.71
61,Port Hawkesbury,CA,2021-11-25 15:36:37,45.6169,-61.3485,54.01,100,90,5.01
62,Coihaique,CL,2021-11-25 15:39:05,-45.5752,-72.0662,56.01,47,75,11.5
63,Faya,SA,2021-11-25 15:39:06,18.3851,42.4509,64.51,63,21,6.33
64,Mar Del Plata,AR,2021-11-25 15:37:21,-38.0023,-57.5575,68.02,90,90,11.01
65,Vardo,NO,2021-11-25 15:39:06,70.3705,31.1107,17.35,79,0,20.71
66,Tuktoyaktuk,CA,2021-11-25 15:39:07,69.4541,-133.0374,-0.4,85,90,18.41
67,Sorland,NO,2021-11-25 15:39:07,67.667,12.6934,31.86,63,95,9.33
68,Grand Gaube,MU,2021-11-25 15:39:07,-20.0064,57.6608,79.2,69,1,1.01
69,Senftenberg,DE,2021-11-25 15:39:08,51.5167,14.0167,38.35,81,22,5.55
70,Cascais,PT,2021-11-25 15:35:59,38.6979,-9.4215,56.52,67,40,8.01
71,Norman Wells,CA,2021-11-25 15:39:08,65.282,-126.8329,-18.36,69,75,6.91
72,East London,ZA,2021-11-25 15:39:13,-33.0153,27.9116,65.34,72,20,16.11
73,Fortuna,US,2021-11-25 15:39:14,40.5982,-124.1573,38.32,93,1,10.36
74,Evensk,RU,2021-11-25 15:39:14,61.95,159.2333,-6.99,80,0,14.14
75,Kodiak,US,2021-11-25 15:39:14,57.79,-152.4072,18.91,49,1,16.11
76,Ilulissat,GL,2021-11-25 15:39:15,69.2167,-51.1,26.62,74,75,13.8
77,Sabang,ID,2021-11-25 15:39:15,5.8933,95.3214,80.58,78,100,7.83
78,Acapulco,MX,2021-11-25 15:39:16,16.8634,-99.8901,78.62,78,1,5.75
79,Lavrentiya,RU,2021-11-25 15:39:16,65.5833,-171.0,-4.92,93,3,9.57
80,Albany,US,2021-11-25 15:34:44,42.6001,-73.9662,44.73,70,96,1.32
81,Bhuj,IN,2021-11-25 15:39:17,23.2667,69.6667,77.11,45,0,2.51
82,Lompoc,US,2021-11-25 15:39:17,34.6391,-120.4579,67.14,67,1,8.05
83,Puerto Ayora,EC,2021-11-25 15:39:18,-0.7393,-90.3518,78.76,87,57,7.0
84,Belaya Gora,RU,2021-11-25 15:39:18,68.5333,146.4167,-36.2,100,32,1.83
85,Kaitangata,NZ,2021-11-25 15:39:18,-46.2817,169.8464,57.25,53,100,6.96
86,Krasnoselkup,RU,2021-11-25 15:39:19,65.7,82.4667,0.7,95,99,12.24
87,Mackay,AU,2021-11-25 15:39:19,-21.15,149.2,75.18,94,90,4.61
88,Skjervoy,NO,2021-11-25 15:39:20,70.0311,20.9714,26.78,49,100,12.15
89,Hasaki,JP,2021-11-25 15:39:20,35.7333,140.8333,44.89,55,0,11.07
90,Cape Town,ZA,2021-11-25 15:38:07,-33.9258,18.4232,83.1,34,0,23.02
91,Cicero Dantas,BR,2021-11-25 15:39:21,-10.6,-38.3833,83.44,57,89,13.38
92,Shingu,JP,2021-11-25 15:39:21,33.7333,135.9833,53.92,68,1,8.93
93,Thompson,CA,2021-11-25 15:36:07,55.7435,-97.8558,-23.64,76,1,0.0
94,Lata,PT,2021-11-25 15:40:22,40.1629,-8.3327,50.04,84,100,1.03
95,Kahului,US,2021-11-25 15:40:23,20.8947,-156.47,76.84,80,1,6.91
96,Noumea,NC,2021-11-25 15:40:23,-22.2763,166.4572,78.01,99,98,9.98
97,Panambi,BR,2021-11-25 15:40:23,-28.2925,-53.5017,92.03,36,100,15.75
98,Taoudenni,ML,2021-11-25 15:40:24,22.6783,-3.9836,89.29,22,14,13.6
99,Nemuro,JP,2021-11-25 15:40:24,43.3236,145.575,36.32,66,11,11.27
100,Cidreira,BR,2021-11-25 15:40:25,-30.1811,-50.2056,75.52,72,32,18.52
101,Jacareacanga,BR,2021-11-25 15:40:25,-6.2222,-57.7528,93.54,47,98,3.53
102,Mahajanga,MG,2021-11-25 15:40:25,-15.7167,46.3167,82.42,83,40,13.8
103,Airai,TL,2021-11-25 15:40:01,-8.9266,125.4092,62.31,94,78,1.79
104,Zamora,EC,2021-11-25 15:40:26,-4.0692,-78.9567,76.24,76,100,4.18
105,Oranjemund,NA,2021-11-25 15:40:26,-28.55,16.4333,66.6,74,44,11.61
106,Chuy,UY,2021-11-25 15:40:27,-33.6971,-53.4616,78.87,48,100,11.21
107,Mayumba,GA,2021-11-25 15:40:27,-3.432,10.6554,78.64,82,93,9.19
108,Baruun-Urt,MN,2021-11-25 15:40:28,46.6806,113.2792,10.36,84,7,5.14
109,Katsuura,JP,2021-11-25 15:40:28,35.1333,140.3,61.2,60,0,25.12
110,Porto Novo,BJ,2021-11-25 15:40:28,6.4965,2.6036,89.42,72,48,9.35
111,Alyangula,AU,2021-11-25 15:40:29,-13.8483,136.4192,80.47,94,100,5.75
112,Port-Gentil,GA,2021-11-25 15:40:29,-0.7193,8.7815,84.16,74,20,12.66
113,Emba,KZ,2021-11-25 15:40:30,48.8264,58.1442,16.0,76,81,11.25
114,Provost,CA,2021-11-25 15:40:30,52.3501,-110.2683,24.22,89,100,6.24
115,Geraldton,AU,2021-11-25 15:40:30,-28.7667,114.6,66.61,77,0,6.91
116,Ribeira Grande,PT,2021-11-25 15:40:31,38.5167,-28.7,66.6,63,40,26.46
117,Kavieng,PG,2021-11-25 15:40:32,-2.5744,150.7967,82.04,73,7,6.78
118,Novikovo,RU,2021-11-25 15:40:32,51.1537,37.8879,32.85,82,99,9.4
119,Baykit,RU,2021-11-25 15:40:33,61.67,96.37,0.97,100,99,1.54
120,Nazas,MX,2021-11-25 15:40:33,25.2333,-104.1333,65.64,30,47,3.06
121,Nago,JP,2021-11-25 15:40:34,26.5881,127.9761,68.16,68,100,7.16
122,Broken Hill,AU,2021-11-25 15:40:34,-31.95,141.4333,62.31,88,90,19.57
123,Nome,US,2021-11-25 15:40:34,64.5011,-165.4064,-11.13,70,1,5.75
124,Kapaa,US,2021-11-25 15:40:35,22.0752,-159.319,75.52,74,20,11.5
125,Moses Lake,US,2021-11-25 15:40:35,47.1301,-119.2781,38.28,93,75,5.75
126,Cape Girardeau,US,2021-11-25 15:40:36,37.3834,-89.7168,53.08,94,100,8.99
127,Lisakovsk,KZ,2021-11-25 15:40:36,52.5369,62.4936,14.47,80,100,14.92
128,Takoradi,GH,2021-11-25 15:40:37,4.8845,-1.7554,84.88,66,31,9.89
129,Dikson,RU,2021-11-25 15:40:37,73.5069,80.5464,0.88,92,100,5.61
130,Guangshui,CN,2021-11-25 15:40:38,31.6199,113.9978,52.65,50,0,0.31
131,Margate,GB,2021-11-25 15:40:38,51.3813,1.3862,44.89,78,24,4.0
132,Matamoros,MX,2021-11-25 15:40:38,25.5333,-103.25,68.11,28,49,4.74
133,Clyde River,CA,2021-11-25 15:40:39,70.4692,-68.5914,2.08,97,100,3.53
134,North Bend,US,2021-11-25 15:40:39,43.4065,-124.2243,40.86,93,1,8.05
135,Yellowknife,CA,2021-11-25 15:40:40,62.456,-114.3525,6.42,91,75,5.01
136,Komsomolskiy,UZ,2021-11-25 15:40:40,40.4272,71.7189,47.12,53,100,6.91
137,Carnarvon,AU,2021-11-25 15:40:40,-24.8667,113.6333,78.87,41,0,14.97
138,Petropavlovsk-Kamchatskiy,RU,2021-11-25 15:40:41,53.0452,158.6483,34.39,69,75,4.47
139,Luderitz,NA,2021-11-25 15:41:42,-26.6481,15.1594,66.15,74,55,10.89
140,Natal,BR,2021-11-25 15:37:16,-5.795,-35.2094,89.82,58,40,13.8
141,Kavaratti,IN,2021-11-25 15:41:42,10.5669,72.642,82.6,77,100,5.61
142,Kruisfontein,ZA,2021-11-25 15:41:43,-34.0033,24.7314,63.88,61,66,20.74
143,Amahai,ID,2021-11-25 15:41:43,-3.3333,128.9167,80.02,84,99,3.8
144,Henties Bay,NA,2021-11-25 15:41:44,-22.116,14.2845,63.95,78,0,8.03
145,Aliwal North,ZA,2021-11-25 15:41:44,-30.6937,26.7114,69.93,32,90,14.27
146,Pevek,RU,2021-11-25 15:41:45,69.7008,170.3133,-10.88,99,100,1.97
147,Turukhansk,RU,2021-11-25 15:41:45,65.8167,87.9833,3.54,95,100,8.81
148,Avera,US,2021-11-25 15:39:24,33.194,-82.5271,55.71,43,98,5.84
149,Mehamn,NO,2021-11-25 15:41:45,71.0357,27.8492,24.98,84,100,8.86
150,Emmett,US,2021-11-25 15:41:46,43.8735,-116.4993,33.87,78,49,8.01
151,Ahuimanu,US,2021-11-25 15:41:46,21.4447,-157.8378,74.91,82,75,9.22
152,Tubmanburg,LR,2021-11-25 15:41:47,6.8708,-10.8172,91.78,44,33,4.52
153,Tual,ID,2021-11-25 15:41:47,-5.6667,132.75,84.31,73,38,8.21
154,Hambantota,LK,2021-11-25 15:41:00,6.1241,81.1185,77.34,100,40,3.44
155,Dakar,SN,2021-11-25 15:41:24,14.6937,-17.4441,97.68,70,0,4.61
156,Goderich,CA,2021-11-25 15:41:48,43.7501,-81.7165,44.92,87,100,4.61
157,Marsh Harbour,BS,2021-11-25 15:41:48,26.5412,-77.0636,72.81,66,34,17.72
158,Deputatskiy,RU,2021-11-25 15:41:49,69.3,139.9,-25.38,86,80,1.25
159,Sitka,US,2021-11-25 15:41:49,57.0531,-135.33,46.29,87,90,9.22
160,La Rioja,ES,2021-11-25 15:37:25,42.25,-2.5,39.04,99,100,5.66
161,Saskylakh,RU,2021-11-25 15:41:50,71.9167,114.0833,-0.56,89,100,11.65
162,Vaini,TO,2021-11-25 15:41:50,-21.2,-175.2,73.56,94,75,4.61
163,Changli,CN,2021-11-25 15:41:50,39.7042,119.1506,38.1,48,0,4.54
164,Ikalamavony,MG,2021-11-25 15:41:51,-21.15,46.5833,81.9,44,88,3.42
165,Kollam,IN,2021-11-25 15:41:51,8.8833,76.6,75.07,94,100,7.09
166,Loreto,MX,2021-11-25 15:41:52,22.2667,-101.9667,61.3,30,7,4.97
167,Antalaha,MG,2021-11-25 15:41:52,-14.9003,50.2788,76.19,77,12,4.32
168,Bathsheba,BB,2021-11-25 15:41:53,13.2167,-59.5167,83.01,100,20,11.5
169,Kachiry,KZ,2021-11-25 15:41:53,53.0675,76.1036,2.75,96,52,9.42
170,Saint George,US,2021-11-25 15:38:34,37.1041,-113.5841,40.35,45,1,1.99
171,Saint-Georges,GD,2021-11-25 15:41:54,12.0564,-61.7485,85.68,74,75,2.3
172,Naze,JP,2021-11-25 15:41:54,28.3667,129.4833,60.15,63,100,5.95
173,Oxelosund,SE,2021-11-25 15:41:55,58.6706,17.1015,38.52,91,75,5.75
174,Gorban,RO,2021-11-25 15:41:55,46.8761,28.0789,43.99,66,1,15.7
175,Luwuk,ID,2021-11-25 15:41:56,-0.9516,122.7875,78.44,86,100,2.15
176,Cherskiy,RU,2021-11-25 15:41:56,68.75,161.3,-21.26,100,100,2.71
177,Rapid Valley,US,2021-11-25 15:41:56,44.0625,-103.1463,40.96,76,1,5.75
178,Pombas,CV,2021-11-25 15:41:57,17.1503,-25.0201,80.38,79,65,12.35
179,Samarai,PG,2021-11-25 15:41:57,-10.6167,150.6667,82.71,79,79,11.72
180,Barrow,US,2021-11-25 15:41:58,71.2906,-156.7887,-9.38,77,1,17.27
181,Biltine,TD,2021-11-25 15:41:58,14.5333,20.9167,85.82,10,5,9.46
182,Kyshtovka,RU,2021-11-25 15:41:58,56.555,76.6271,-2.94,99,73,6.22
183,Dreux,FR,2021-11-25 15:41:59,48.6667,1.25,42.87,93,74,10.67
184,Mount Gambier,AU,2021-11-25 15:41:59,-37.8333,140.7667,53.51,76,90,18.41
185,Hobyo,SO,2021-11-25 15:43:00,5.3505,48.5268,82.24,78,21,14.5
186,Qaanaaq,GL,2021-11-25 15:43:00,77.484,-69.3632,-4.5,58,13,5.7
187,Wanaka,NZ,2021-11-25 15:43:01,-44.7,169.15,51.57,78,100,8.12
188,Tasiilaq,GL,2021-11-25 15:43:01,65.6145,-37.6368,32.16,55,3,14.34
189,Broome,US,2021-11-25 15:43:02,42.2506,-75.833,42.53,69,90,1.01
